Origin,Destination,Value,Zone
Gormanston,Rush and Lusk,D90,2
Gormanston,Donabate,D90,2
Gormanston,Malahide,D90,2
Gormanston,Portmarnock,D90,2
Gormanston,Clongriffin,D90,2
Gormanston,Howth,D90,2
Gormanston,Sutton,D90,2
Gormanston,Bayside,D90,2
Gormanston,Howth Junction and Donaghmede,D90,2
Gormanston,Kilbarrack,D90,2
Gormanston,Raheny,D90,2
Gormanston,Harmonstown,D90,2
Gormanston,Killester,D90,2
Gormanston,Clontarf Road,D90,2
Gormanston,Dublin Connolly,D90,2
Gormanston,Tara Street,D90,2
Gormanston,Dublin Pearse,D90,2
Gormanston,Grand Canal Dock,D90,2
Gormanston,Lansdowne Road,D90,2
Gormanston,Sandymount,D90,2
Gormanston,Sydney Parade,D90,2
Gormanston,Booterstown,D90,2
Gormanston,Blackrock,D90,2
Gormanston,Seapoint,D90,2
Gormanston,Salthill and Monkstown,D90,2
Gormanston,Dun Laoghaire (Mallin),D90,2
Gormanston,Sandycove and Glasthule,D90,2
Gormanston,Glenageary,D90,2
Gormanston,Dalkey,D90,2
Gormanston,Killiney,D90,2
Gormanston,Shankill,D90,2
Gormanston,Bray (Daly),D90,2
Gormanston,Greystones,D91,2
Gormanston,Kilcoole,D91,2
Gormanston,Wicklow,D92,3
Gormanston,Rathdrum,D93,4
Gormanston,Docklands,D90,2
Gormanston,Drumcondra,D90,2
Gormanston,Broombridge,D90,2
Gormanston,Pelletstown,D90,2
Gormanston,Ashtown,D90,2
Gormanston,Navan Road Parkway,D90,2
Gormanston,Castleknock,D90,2
Gormanston,Coolmine,D90,2
Gormanston,Clonsilla,D90,2
Gormanston,Hansfield,D90,2
Gormanston,Dunboyne,D90,2
Gormanston,M3 Parkway,D90,2
Gormanston,Leixlip(Confey),D90,2
Gormanston,Leixlip(Louisa Bridge),D90,2
Gormanston,Maynooth,D90,2
Gormanston,Kilcock,D91,2
Gormanston,Enfield,D92,3
Gormanston,Dublin Heuston,D90,2
Gormanston,Park West and Cherry Orchard,D90,2
Gormanston,Clondalkin Fonthill,D90,2
Gormanston,Kishoge,D90,2
Gormanston,Adamstown,D90,2
Gormanston,Hazelhatch and Celbridge,D90,2
Gormanston,Sallins and Naas,D91,2
Gormanston,Newbridge,D92,3
Gormanston,Kildare,D93,4
Balbriggan,Drogheda (MacBride),D11,3
Balbriggan,Laytown,D10,3
Balbriggan,Gormanston,D10,2
Balbriggan,Skerries,D10,2
Balbriggan,Rush and Lusk,D14,2
Balbriggan,Donabate,D14,2
Balbriggan,Malahide,D14,2
Balbriggan,Portmarnock,D14,2
Balbriggan,Clongriffin,D90,2
Balbriggan,Howth,D90,2
Balbriggan,Sutton,D90,2
Balbriggan,Bayside,D90,2
Balbriggan,Howth Junction and Donaghmede,D90,2
Balbriggan,Kilbarrack,D90,2
Balbriggan,Raheny,D90,2
Balbriggan,Harmonstown,D90,2
Balbriggan,Killester,D90,2
Balbriggan,Clontarf Road,D90,2
